Month,Day,Year,Sender,Recipient
11,13,1998,115,170
11,13,1998,115,170
11,19,1998,115,124
11,19,1998,115,124
11,19,1998,115,124
11,19,1998,115,124
11,19,1998,115,124
11,19,1998,115,124
11,24,1998,115,39
11,24,1998,115,39
11,24,1998,115,39
11,24,1998,115,39
11,24,1998,115,111
11,24,1998,115,111
11,24,1998,115,156
11,24,1998,115,156
11,24,1998,115,156
11,24,1998,115,156
11,24,1998,115,170
11,24,1998,115,170
11,24,1998,115,170
11,24,1998,115,170
11,30,1998,115,66
11,30,1998,115,66
11,30,1998,115,66
11,30,1998,115,66
11,30,1998,115,113
11,30,1998,115,113
11,30,1998,115,113
11,30,1998,115,113
12,2,1998,115,146
12,2,1998,115,146
12,2,1998,115,170
12,2,1998,115,170
12,3,1998,115,170
12,3,1998,115,170
12,4,1998,115,111
12,4,1998,115,111
12,9,1998,115,170
12,9,1998,115,170
12,9,1998,115,170
12,9,1998,115,170
12,16,1998,115,12
12,16,1998,115,12
12,16,1998,115,111
12,16,1998,115,111
12,16,1998,115,156
12,16,1998,115,156
12,16,1998,115,170
12,16,1998,115,170
12,16,1998,115,170
12,16,1998,115,170
12,16,1998,115,170
12,16,1998,115,170
12,18,1998,115,170
12,18,1998,115,170
12,21,1998,124,115
12,21,1998,124,115
12,21,1998,124,115
12,21,1998,124,115
12,22,1998,115,23
12,22,1998,115,23
12,22,1998,115,23
12,22,1998,115,23
12,22,1998,115,66
12,22,1998,115,66
12,22,1998,115,66
12,22,1998,115,66
12,22,1998,115,113
12,22,1998,115,113
12,22,1998,115,113
12,22,1998,115,113
12,22,1998,115,161
12,22,1998,115,161
12,22,1998,115,161
12,22,1998,115,161
12,30,1998,113,66
12,30,1998,113,66
12,30,1998,113,115
12,30,1998,113,115
12,30,1998,113,146
12,30,1998,113,146
1,4,1999,115,66
1,4,1999,115,66
1,4,1999,115,170
1,4,1999,115,170
1,7,1999,115,113
1,7,1999,115,113
1,7,1999,115,113
1,7,1999,115,113
1,7,1999,115,170
1,7,1999,115,170
1,7,1999,115,111
1,7,1999,115,111
1,7,1999,115,111
1,7,1999,115,111
1,8,1999,115,170
1,8,1999,115,170
1,8,1999,115,170
1,8,1999,115,170
1,8,1999,115,146
1,8,1999,115,146
1,8,1999,115,170
1,8,1999,115,170
1,8,1999,115,170
1,8,1999,115,170
1,12,1999,115,170
1,12,1999,115,170
1,12,1999,115,170
1,12,1999,115,170
1,13,1999,115,146
1,13,1999,115,146
1,13,1999,115,146
1,13,1999,115,146
1,13,1999,115,170
1,13,1999,115,170
1,13,1999,115,170
1,13,1999,115,170
1,13,1999,115,23
1,13,1999,115,23
1,13,1999,115,30
1,13,1999,115,30
1,13,1999,115,39
1,13,1999,115,39
1,13,1999,115,51
1,13,1999,115,51
1,13,1999,115,66
1,13,1999,115,66
1,13,1999,115,111
1,13,1999,115,111
1,13,1999,115,113
1,13,1999,115,113
1,13,1999,115,124
1,13,1999,115,124
1,13,1999,115,146
1,13,1999,115,146
1,13,1999,115,156
1,13,1999,115,156
1,13,1999,115,161
1,13,1999,115,161
1,13,1999,115,170
1,13,1999,115,170
1,15,1999,115,156
1,15,1999,115,156
1,15,1999,115,170
1,15,1999,115,170
1,15,1999,115,170
1,15,1999,115,170
1,18,1999,115,156
1,18,1999,115,156
1,18,1999,115,39
1,18,1999,115,39
1,18,1999,115,111
1,18,1999,115,111
1,18,1999,115,156
1,18,1999,115,156
1,18,1999,115,170
1,18,1999,115,170
1,20,1999,115,156
1,20,1999,115,156
1,20,1999,115,156
1,20,1999,115,156
1,23,1999,115,156
1,23,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,27,1999,115,156
1,28,1999,115,170
1,28,1999,115,170
2,1,1999,115,156
2,1,1999,115,156
2,1,1999,115,156
2,1,1999,115,156
2,1,1999,115,156
2,1,1999,115,156
2,10,1999,115,170
2,10,1999,115,170
2,10,1999,115,170
2,10,1999,115,170
2,22,1999,115,170
2,22,1999,115,170
3,4,1999,115,170
3,4,1999,115,170
3,5,1999,115,23
3,5,1999,115,23
3,10,1999,115,170
3,10,1999,115,170
3,10,1999,115,170
3,10,1999,115,170
3,10,1999,115,170
3,10,1999,115,170
3,19,1999,115,170
3,19,1999,115,170
3,19,1999,115,39
3,19,1999,115,39
3,23,1999,115,170
3,23,1999,115,170
3,25,1999,115,39
3,25,1999,115,39
3,25,1999,115,156
3,25,1999,115,156
3,25,1999,115,66
3,25,1999,115,66
3,25,1999,115,66
3,25,1999,115,66
4,1,1999,115,156
4,1,1999,115,156
4,12,1999,115,66
4,12,1999,115,66
5,3,1999,66,39
5,3,1999,66,39
5,3,1999,115,111
5,3,1999,115,111
5,4,1999,39,66
5,4,1999,39,66
5,4,1999,39,113
5,4,1999,39,113
5,5,1999,115,170
5,5,1999,115,170
5,10,1999,156,115
5,10,1999,156,115
5,10,1999,66,23
5,10,1999,66,161
5,10,1999,156,115
5,10,1999,156,115
5,10,1999,156,115
5,10,1999,156,115
5,10,1999,156,146
5,10,1999,156,146
5,11,1999,170,111
5,11,1999,170,111
5,11,1999,115,156
5,11,1999,115,156
5,11,1999,23,66
5,11,1999,23,66
5,11,1999,156,111
5,11,1999,156,111
5,11,1999,156,111
5,11,1999,156,111
5,11,1999,113,66
5,11,1999,113,66
5,11,1999,113,115
5,11,1999,113,115
5,12,1999,115,113
5,12,1999,115,113
5,12,1999,170,115
5,12,1999,170,115
5,12,1999,156,115
5,12,1999,156,115
5,12,1999,156,170
5,12,1999,156,170
5,12,1999,170,115
5,12,1999,170,115
5,13,1999,161,23
5,13,1999,115,170
5,13,1999,115,170
5,13,1999,161,23
5,13,1999,161,23
5,13,1999,170,115
5,13,1999,170,115
5,13,1999,170,115
5,13,1999,170,115
5,13,1999,170,115
5,13,1999,170,115
5,13,1999,170,115
5,13,1999,170,115
5,17,1999,170,115
5,17,1999,170,115
5,17,1999,156,115
5,17,1999,156,115
5,17,1999,156,111
5,17,1999,156,111
5,18,1999,156,111
5,18,1999,156,111
5,19,1999,115,156
5,19,1999,115,156
5,19,1999,115,39
5,19,1999,115,39
5,19,1999,115,39
5,19,1999,115,39
5,19,1999,115,156
5,19,1999,115,156
5,19,1999,115,156
5,19,1999,115,156
5,20,1999,170,115
5,20,1999,170,115
5,20,1999,170,115
5,20,1999,170,115
5,20,1999,156,115
5,20,1999,156,115
5,20,1999,39,115
5,20,1999,39,115
5,21,1999,170,115
5,21,1999,170,115
5,21,1999,170,115
5,21,1999,170,115
5,21,1999,170,166
5,21,1999,170,166
5,21,1999,170,166
5,21,1999,170,166
5,21,1999,115,166
5,21,1999,115,166
5,21,1999,115,166
5,21,1999,115,166
5,21,1999,115,170
5,21,1999,115,170
5,24,1999,115,108
5,24,1999,115,108
5,24,1999,108,115
5,24,1999,108,115
5,24,1999,39,66
5,24,1999,39,66
5,24,1999,170,111
5,24,1999,170,111
